"id","site","job_url","job_url_direct","title","company","location","job_type","date_posted","salary_source","interval","min_amount","max_amount","currency","is_remote","job_level","job_function","company_industry","listing_type","emails","description","company_url","company_url_direct","company_addresses","company_num_employees","company_revenue","company_description","logo_photo_url","banner_photo_url","ceo_name","ceo_photo_url"
"1009373256594","glassdoor","https://www.glassdoor.com/job-listing/j?jl=1009373256594","","JavaScript Developer","GNRSystems Inc.","Dallas, TX","","2024-07-20","direct_data","hourly",45.0,55.0,"USD",False,"","","","organic","","**Duties**:

* 5 days onsite in Dallas
* Java Script Resources: Medium amount of profiles request
* Strong programming skills in Java with proficiency in object-oriented design principles
* Strong Experience with web development frameworks (Angular or React)
* Familiarity with Java frameworks such as DropWizard, Spring and Hibernate
* Familiarity with distributed storage systems like DB2, Oracle, Cassandra, MongoDB
* Familiarity with continuous integration and continuous deployment (CI/CD) pipelines especially using Git
* Working knowledge of Unix/Linux experience

**Skills**:

* 5-10 years

Job Type: Contract

Pay: $45.00 - $55.00 per hour

Expected hours: 8 per week

Experience level:

* 6 years

Schedule:

* 8 hour shift

Application Question(s):

* Are you willing for W2?
* Are you a USC/GC?

Experience:

* Front-end development: 4 years (Required)
* CSS: 4 years (Required)
* Angular: 4 years (Required)

Location:

* Dallas, TX (Required)

Ability to Commute:

* Dallas, TX (Required)

Ability to Relocate:

* Dallas, TX: Relocate before starting work (Required)

Work Location: In person","","","","","","","","","",""
"1009373160201","glassdoor","https://www.glassdoor.com/job-listing/j?jl=1009373160201","","Senior/Principal Software Engineer","Liberty Mutual","Plano, TX","","2024-07-20","direct_data","yearly",103400.0,218400.0,"USD",False,"","","","organic","","**Pay Philosophy**
The typical starting salary range for this role is determined by a number of factors including skills, experience, education, certifications and location. The full salary range for this role reflects the competitive labor market value for all employees in these positions across the national market and provides an opportunity to progress as employees grow and develop within the role. Some roles at Liberty Mutual have a corresponding compensation plan which may include commission and/or bonus earnings at rates that vary based on multiple factors set forth in the compensation plan for the role.

 **Description**Do you have the skills and drive to join a tech team that’s working to digitally transform a trillion-dollar industry? From test-driving the latest technologies to creating intuitive consumer apps, Liberty Mutual is constantly innovating and creating industry-leading solutions that provide peace of mind for our customers worldwide. In this role at Liberty Mutual, you’ll help deliver a state of the art quote experience for one of our major distribution channels, which entails consulting on highly complex issues and solve technical problems, while working in an agile environment that has the creative energy of a start-up and the full backing and comprehensive benefits of a Fortune 100 company.

 *This is a Senior/Principal Engineer range posting. The actual internal level/grade and compensation for this role will depend on the candidate’s geographic location, overall experience, and skill level.*

  

We encourage you to apply and bring your expertise if you’re a:

* Technical problem solver: Going far beyond simply developing error-free source code, test scripts, components and system architectures, you’ll document and build deployment guides aimed at maintaining robust, relevant software
* Customer-centric engineer: Putting clients’ needs first, you’ll translate customer requirements into technical applications and support the implementation of new software
* Motivated mentor: Exercise your technical chops while coaching and collaborating with junior software engineers.
* Forward thinker: Merely fixing a problem isn’t enough using your proactive mindset and initiative, you’ll also identify opportunities to enhance performance, quality and efficiency

**Qualifications**
Experience

* Five or more years of software engineering experience
* Strong background in business operations and strategies, including global technology and financial services trends
* Hands-on involvement with layered systems architectures, designs and shared software concepts
* Familiarity with functional and system integration testing
* Experience working in an agile environment

  

Essential skills for the position:

* Excellent verbal and written communication. This is a virtual team spread across the US, so being able to work in such a setting is key
* Version control system experience, specifically working with any implementation of Git
* Extensive experience with C#
* Experience with .Net 5+

  

Preferred skills and experience:

* .Net Web API
* AWS
* Microsoft Orleans
* XML
* Experience in Insurance industry or similar.
* Angular 16+
* JavaScript/TypeScript
* HMTL, CSS


Education


* A Bachelor’s or Master’s degree in a technical or business discipline, or equivalent experience

 **About Us**
\\*\\*This position may have in-office requirements depending on candidate location.\\*\\*

  

At Liberty Mutual, our purpose is to help people embrace today and confidently pursue tomorrow. That's why we provide an environment focused on openness, inclusion, trust and respect. Here, you'll discover our expansive range of roles, and a workplace where we aim to help turn your passion into a rewarding profession.  

  

Liberty Mutual has proudly been recognized as a ""Great Place to Work"" by Great Place to Work® US for the past several years. We were also selected as one of the ""100 Best Places to Work in IT"" on IDG's Insider Pro and Computerworld's 2020 list. For many years running, we have been named by Forbes as one of America's Best Employers for Women and one of America's Best Employers for New Graduates as well as one of America's Best Employers for Diversity. To learn more about our commitment to diversity and inclusion please visit: https://jobs.libertymutualgroup.com/diversity-inclusion  

  

We value your hard work, integrity and commitment to make things better, and we put people first by offering you benefits that support your life and well-being. To learn more about our benefit offerings please visit: https://LMI.co/Benefits  

  

Liberty Mutual is an equal opportunity employer. We will not tolerate discrimination on the basis of race, color, national origin, sex, sexual orientation, gender identity, religion, age, disability, veteran's status, pregnancy, genetic information or on any basis prohibited by federal, state or local law.","https://www.glassdoor.com/Overview/W-EI_IE2874.htm","","","","","","https://media.glassdoor.com/sql/2874/liberty-mutual-insurance-squarelogo-1550851957951.png","","",""
"1009373678538","glassdoor","https://www.glassdoor.com/job-listing/j?jl=1009373678538","","Lead Software Engineer, Back End","Capital One","Plano, TX","","2024-07-20","","","","","",False,"","","","organic","RecruitingAccommodation@capitalone.com, Careers@capitalone.com","Plano 6 (31066), United States of America, Plano, Texas
Lead Software Engineer, Back End
One, you'll be part of a big group of makers, breakers, doers and disruptors, who love to solve real problems and meet real customer needs. We are seeking Back End Software Engineers who are passionate about marrying data with emerging technologies. As a Capital One Software Engineer, you’ll have the opportunity to be on the forefront of driving a major transformation within Capital One.

 **What You’ll Do:**

* Lead a portfolio of diverse technology projects and a team of developers with deep experience in distributed microservices, and full stack systems to create solutions that help meet regulatory needs for the company
* Share your passion for staying on top of tech trends, experimenting with and learning new technologies, participating in internal & external technology communities, mentoring other members of the engineering community, and from time to time, be asked to code or evaluate code
* Collaborate with digital product managers, and deliver robust cloud-based solutions that drive powerful experiences to help millions of Americans achieve financial empowerment
* Utilize programming languages like Java, Python, SQL, Node, Go, and Scala, Open Source RDBMS and NoSQL databases, Container Orchestration services including Docker and Kubernetes, and a variety of AWS tools and services

**Basic Qualifications:**

* Bachelor’s Degree
* At least 6 years of professional software engineering experience (Internship experience does not apply)
* At least 1 year experience with cloud computing (AWS, Microsoft Azure, Google Cloud)

**Preferred Qualifications:**

* Master's Degree
* 7+ years of experience in at least one of the following: Java or Python
* 1+ year of experience with Kotlin
* 2+ years of experience with AWS, GCP, Azure, or another cloud service
* 4+ years of experience in open source frameworks
* 1+ years of people management experience
* 2+ years of experience in Agile practices

 ***At this time, Capital One will not sponsor a new applicant for employment authorization for this position.***


Capital One offers a comprehensive, competitive, and inclusive set of health, financial and other benefits that support your total well-being. Learn more at the Capital One Careers website. Eligibility varies based on full or part-time status, exempt or non-exempt status, and management level.


This role is expected to accept applications for a minimum of 5 business days.
No agencies please. Capital One is an equal opportunity employer committed to diversity and inclusion in the workplace. All qualified applicants will receive consideration for employment without regard to sex (including pregnancy, childbirth or related medical conditions), race, color, age, national origin, religion, disability, genetic information, marital status, sexual orientation, gender identity, gender reassignment, citizenship, immigration status, protected veteran status, or any other basis prohibited under applicable federal, state or local law. Capital One promotes a drug-free workplace. Capital One will consider for employment qualified applicants with a criminal history in a manner consistent with the requirements of applicable laws regarding criminal background inquiries, including, to the extent applicable, Article 23-A of the New York Correction Law; San Francisco, California Police Code Article 49, Sections 4901-4920; New York City’s Fair Chance Act; Philadelphia’s Fair Criminal Records Screening Act; and other applicable federal, state, and local laws and regulations regarding criminal background inquiries.
If you have visited our website in search of information on employment opportunities or to apply for a position, and you require an accommodation, please contact Capital One Recruiting at 1-800-304-9102 or via email at RecruitingAccommodation@capitalone.com. All information you provide will be kept confidential and will be used only to the extent required to provide needed reasonable accommodations.


For technical support or questions about Capital One's recruiting process, please send an email to Careers@capitalone.com


Capital One does not provide, endorse nor guarantee and is not liable for third-party products, services, educational tools or other information available through this site.


Capital One Financial is made up of several different entities. Please note that any position posted in Canada is for Capital One Canada, any position posted in the United Kingdom is for Capital One Europe and any position posted in the Philippines is for Capital One Philippines Service Corp. (COPSSC).","https://www.glassdoor.com/Overview/W-EI_IE3736.htm","","","","","","https://media.glassdoor.com/sql/3736/capital-one-squareLogo-1667853695285.png","","",""
"1009373261192","glassdoor","https://www.glassdoor.com/job-listing/j?jl=1009373261192","","C# .Net Developer","GNRSystems Inc.","Dallas, TX","","2024-07-20","direct_data","hourly",45.0,55.0,"USD",False,"","","","organic","","**Duties**:

* Requires 5 days onsite in Dallas
* C# Resources: Medium amount of profiles request
* Strong programming skills in C# with .NET Developer Experience
* Familiarity with distributed storage systems like DB2, Oracle, Cassandra, MongoDB
* Familiarity with distributed storage systems like Public Cloud Environments (Azure/AWS), Powershell, Angular, React
* Familiarity with continuous integration and continuous deployment (CI/CD) pipelines especially using Git
* Working knowledge of Unix/Linux experience

**Skills**:

* 5-10 years

Job Type: Contract

Pay: $45.00 - $55.00 per hour

Expected hours: 8 per week

Experience level:

* 6 years

Schedule:

* 8 hour shift

Application Question(s):

* Are you willing to work on W2
* Are you a USC/GC?
* Do you have experience with Financial clients?

Experience:

* Front-end development: 4 years (Required)
* CSS: 4 years (Required)
* Angular: 4 years (Required)

Ability to Commute:

* Dallas, TX (Required)

Ability to Relocate:

* Dallas, TX: Relocate before starting work (Required)

Work Location: In person","","","","","","","","","",""
"1009373642438","glassdoor","https://www.glassdoor.com/job-listing/j?jl=1009373642438","","Senior Software Engineer","AT&T","Dallas, TX","","2024-07-20","direct_data","yearly",116700.0,196400.0,"USD",False,"","","","organic","","**Job Description:**


Join AT&T and reimagine the communications and technologies that connect the world. Our Consumer Technology experience team is delivering innovative and reliable technology solutions to power differentiated, simplified customer experiences. Bring your bold ideas and fearless risk-taking to redefine connectivity and transform how the world shares stories and experiences that matter. When you step into a career with AT&T, you won’t just imagine the future-you’ll create it.


The Senior Software Engineer is Responsible for the overall delivery process of a software application or service, including design, development, testing, deployment, production application support (e.g., troubleshooting) and maintenance with a focus on automation. Collaborate to gather and review software requirements/user stories, provide estimates, create software design specifications and collaborate with engineers/architects to assess and test hardware and software interactions. Execute a specific development methodology through application of various programming languages.

**Key Responsibilities:**

* Design, code, test, debug and document new and existing components to ensure that software meets business, quality and operational needs.
* Align development teams to a shared technical direction and partners with those teams in elaborating the Solution and its interfaces.
* Work with portfolio stakeholders, Solution and Enterprise Architects, to develop, analyze, split, and realize the implementation of enablers.
* Build high quality code following unit testing and test-driven development.
* Establish critical NFRs at the solution level, participate in the definition of others.
* Drive and participate in code and document reviews, mentoring team in best practices.
* Collaborate with peer organizations, dev ops, support organizations on technical issues and provide guidance.
* Interpret and translate business needs to technical requirements and accurate estimates.
* Evaluate and recommend tools, technologies and processes to ensure the highest quality and performance is achieved.
* Work with team to troubleshoot code level problems quickly and efficiently.
* Apply deep technical expertise to resolve challenging programming and design problems.
* Focus on scalability, security and availability of all applications and processes.
* Contribute to the design and architecture to enable secure, scalable and maintainable software.
* Contribute to technical roadmap and technical debt elimination, balancing time, resource, and quality constraints to achieve business and strategic goals and requirements.
* Supporting Catalog daily release activities.
* Understanding and enhancing the Catalog model - Oracle ATG, Commerce Tools, Amdocs Catalog One.

**Qualifications:**

* Bachelor’s degree in Computer Science, Information Systems or related field.
* 3+ years of experience in working in Engineering or Development roles.
* 3+ years of progressive experience in one or more of the following areas: application delivery; subject matter expertise in building Java-based high-volume/high-transaction e-commerce applications.
* 3+ years of experience building web applications using Java, Spring and REST.
* 2+ years of experience in performance tuning and application monitoring.
* 2+ years of experience in architecture and design of systems using Micro services architecture.
* 2+ years of experience in a leadership capacity - coaching and mentoring engineers, developers.
* 1+ years of experience in cloud technologies: AWS, Azure, OpenStack, Docker, Kubernetes, Ansible, Chef or Terraform.
* 1+ years of experience in build and CICD technologies: GitHub, Maven, Jenkins, Nexus or Sonar.
* 2+ years of experience in Unit and Function testing using Junit, Spock, Mockito/JMock, Selenium, Cucumber, SoapUI or Postman
* Proficiency in Unix/Linux command line.
* Proficient knowledge and experience working with asynchronous message processing, stream processing and event driven computing.
* Experience working within Agile/Scrum/Kanban development team.
* Familiarity with HTML5, JavaScript frameworks, and CSS3.
* Certified in Java, Spring or AWS technologies.
* Good written and verbal communication skills with demonstrated ability to present complex technical information in a clear manner to peers, developers, and senior leaders.
* Working knowledge of product catalogs - Commerce Tools, Amdocs Catalog One.


Our Senior Software Engineering earns between $130,700.00-$196,100.00. Not to mention all the other amazing rewards that working at AT&T offers. Individual starting salary within this range may depend on geography, experience, expertise, and education/training.


 Joining our team comes with amazing perks and benefits:

* Medical/Dental/Vision coverage
* 401(k) plan
* Tuition reimbursement program
* Paid Time Off and Holidays (based on date of hire, at least 23 days of vacation each year and 9 company-designated holidays)
* Paid Parental Leave
* Paid Caregiver Leave
* Additional sick leave beyond what state and local law require may be available but is unprotected
* Adoption Reimbursement
* Disability Benefits (short term and long term)
* Life and Accidental Death Insurance
* Supplemental benefit programs: critical illness/accident hospital indemnity/group legal
* Employee Assistance Programs (EAP)
* Extensive employee wellness programs
* Employee discounts up to 50% off on eligible AT&T mobility plans and accessories, AT&T internet (and fiber where available) and AT&T phone.

  

AT&T is leading the way to the future – for customers, businesses and the industry. We're developing new technologies to make it easier for our customers to stay connected to their world. Together, we’ve built a premier integrated communications and entertainment company and an amazing place to work and grow. Team up with industry innovators every time you walk into work, creating the world you always imagined. Ready to #transformdigital with us? Apply now!

**Weekly Hours:**


40**Time Type:**


Regular**Location:**


Bothell, Washington**Salary Range:**

$116,700.00 - $196,100.00
It is the policy of AT&T to provide equal employment opportunity (EEO) to all persons regardless of age, color, national origin, citizenship status, physical or mental disability, race, religion, creed, gender, sex, sexual orientation, gender identity and/or expression, genetic information, marital status, status with regard to public assistance, veteran status, or any other characteristic protected by federal, state or local law. In addition, AT&T will provide reasonable accommodations for qualified individuals with disabilities.","https://www.glassdoor.com/Overview/W-EI_IE613.htm","","","","","","https://media.glassdoor.com/sql/613/at-and-t-squareLogo-1677605813073.png","","",""
"1009373257207","glassdoor","https://www.glassdoor.com/job-listing/j?jl=1009373257207","","C# Developer","GNRSystems Inc.","Dallas, TX","","2024-07-20","direct_data","hourly",50.0,55.0,"USD",False,"","","","organic","","**Duties**:

* Requires 5 days onsite in Dallas, TX
* C# Resources: Medium amount of profiles request
* Strong programming skills in C# with .NET Developer Experience
* Familiarity with distributed storage systems like DB2, Oracle, Cassandra, MongoDB
* Familiarity with distributed storage systems like Public Cloud Environments (Azure/AWS), Powershell, Angular, React
* Familiarity with continuous integration and continuous deployment (CI/CD) pipelines especially using Git
* Working knowledge of Unix/Linux experience

**Skills**:

* 5-10 years

Join us to be part of a team that values innovation and continuous learning. Apply now to embark on an exciting career as a .NET Developer!

Job Type: Contract

Pay: $50.00 - $55.00 per hour

Compensation package:

* Hourly pay

Experience level:

* 8 years

Schedule:

* 8 hour shift

Application Question(s):

* Are you a USC or GC or H1B?
* Are you willing to work on W2?
* Are you local to Texas?
* Do you ahve experience with Financial Domain?

Experience:

* REST: 1 year (Preferred)
* Java: 1 year (Preferred)

Ability to Commute:

* Dallas, TX 75201 (Preferred)

Ability to Relocate:

* Dallas, TX 75201: Relocate before starting work (Required)

Work Location: In person","https://www.glassdoor.com/Overview/W-EI_IE1077880.htm","","","","","","https://media.glassdoor.com/sql/1077880/gnr-systems-squarelogo-1524014579970.png","","",""
"1009373253748","glassdoor","https://www.glassdoor.com/job-listing/j?jl=1009373253748","","C++ Developer","GNRSystems Inc.","Dallas, TX","","2024-07-20","direct_data","hourly",50.0,55.0,"USD",False,"","","","organic","","**Job Title: C++ Developer**

**Location : Salt Lake City or Dallas(Onsite)**

**Contract: 6 months on C2C**

**Job Description:**

* C++ Resources: Medium amount of profiles request
* Strong programming skills in C++ with proficiency in object-oriented design principles
* Familiarity with distributed storage systems like DB2, Oracle, Cassandra, MongoDB
* Familiarity with continuous integration and continuous deployment (CI/CD) pipelines especially using Git
* Working knowledge of Unix/Linux experience

Job Type: Contract

Pay: $50.00 - $55.00 per hour

Benefits:

* 401(k)
* Dental insurance
* Health insurance

Schedule:

* 8 hour shift

Application Question(s):

* Are you local to Salt Lake City or Dallas?
* Are you a US Citizen or Green Card OR H1?

Experience:

* C++ with proficiency in object-oriented design: 6 years (Required)
* DB2, Oracle, Cassandra, MongoDB: 6 years (Required)

Work Location: In person","https://www.glassdoor.com/Overview/W-EI_IE1077880.htm","","","","","","https://media.glassdoor.com/sql/1077880/gnr-systems-squarelogo-1524014579970.png","","",""
"1009373357068","glassdoor","https://www.glassdoor.com/job-listing/j?jl=1009373357068","","Software Developer/Engineer","Lone Star Analysis","Addison, TX","","2024-07-20","direct_data","yearly",83351.0,113114.0,"USD",False,"","","","organic","","**Lone Star Analysis**



Lone Star Analysis is a rapidly growing company offering applied decision intelligence and engineering solutions to enhance innovation, create economic strength, and make the world safer. Since 2004, organizations have trusted Lone Star to deliver actionable answers to complex problems in manufacturing, aerospace, defense, energy, logistics, transportation, and communications.

  


**Job Description**



Lone Star is seeking an entry level Software Developer/Engineer to develop and integrate third party applications with US DoD mission planning system. The role will be a member of the Agile Team. Due to sensitivity of work and data, this position will perform work on site.


**Responsibilities**


* Define, build, test and deploy scalable web applications and/or microservices
* Work in a DevSecOps environment
* Develop reusable, componentized UIs that can be shared across the enterprise
* Participate in Sprint Planning, backlog grooming, story points estimation, review/retrospective, and demo
* Assist Team’s Technical Lead
* Other duties as assigned

**Minimum Requirements**


* Willing to learn new technologies, process, and tools
* Developing full-stack software solutions using object-oriented programming principles (Java or .NET)
* Minimum of BS in STEM, or related field
* Must be a US citizen
* Must be able to obtain and maintain US DoD clearance


**Other desirable experience**


* Understanding or experience with C#, .NET, Java, React/Redux (BIG PLUS)
* Understanding or experience with microservices architecture and deployment
* Understanding or experience with Scale Agile Framework
* Understanding or experience with Cloud development, AWS or Azure
* Understanding or experience with Kubernetes
* Understanding or experience with using Atlassian tools (Jira, Bitbucket, etc.)
* Must be highly collaborative and capable of working in a team-based environment


**Expectations do not include:**


* All of the desirable attribute within a single candidate.


**Why Lone Star?**



Have you ever wanted to...Work on cutting edge issues? Experience what it feels like to have your work truly make a difference? Work in a high trust, high performance environment and feel valued? If the answer is 'yes' then Lone Star might be for you. There is one catch however, you can't hide in our culture. So, if we appeal to you, bring your 'A' game.


**What We Offer**


* A great culture and work environment
* Heavily subsidized cafeteria style medical, dental & vision
* Flexible PTO and work hours
* Some remote work options
* Company match 401(k)
* Subsidized HSA (w/ HDHP election)
* Company paid Life and AD&D
* Company paid Short- & Long-term Disability
* Professional Development Reimbursement
* Variable compensation and equity options
* Company paid Medical Concierge Service
* Company paid Identity Theft Protection


**Legal / Compliance Statements**

  

Lone Star's normal requirements apply, in addition to these job specific attributes. This job is expected to span across level 1 position categories. Lone Star is committed to protecting your personal data and is an equal opportunities employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin or any other characteristic protected by law.","https://www.glassdoor.com/Overview/W-EI_IE432251.htm","","","","","","https://media.glassdoor.com/sql/432251/lone-star-aerospace-squarelogo-1449528591220.png","","",""
"1009371568152","glassdoor","https://www.glassdoor.com/job-listing/j?jl=1009371568152","","Software Engineer II - Investment Manager","AppFolio","Dallas, TX","","2024-07-19","direct_data","yearly",106000.0,154000.0,"USD",False,"","","","organic","","**Hi, We’re AppFolio.**  

We’re innovators, changemakers, and collaborators. We’re more than just a software company — we’re a cloud-based powerhouse that creates products to make our customers’ lives easier. We’re revolutionizing how people do business, and we want your ideas, enthusiasm, and passion to help us keep innovating. **Who we are looking for:**  

AppFolio is looking for a Software Engineer II to join our fast-paced team working to bring the power of well-designed SaaS services to our Investment Manager product, the leading software platform in the fast-growing space of real estate investment management. We seek a strong software engineer to help build and evolve the real estate investment management user experience. This industry is ripe for innovation and AppFolio Investment Manager is leading the way. The ideal candidate will thrive in a highly collaborative environment, applying Agile and Lean UX techniques on cross-functional product development teams to build an innovative product for our customers.  

This is an ideal opportunity for someone who has a passion for building leading-edge software and is driven to help build a successful SaaS product used by thousands of happy businesses. We foster an environment that empowers small teams to set the technical direction of our solutions collaboratively. **Responsibilities:*** Become a master of your software engineering craft, and work with other software engineers who are smart enough to teach you, and humble enough to learn from you.
* Develop scalable, robust, and simple web-based solutions to solve complex business problems for our customers.
* Implement new features and optimize existing ones to drive maximum scalability, stability, and performance.
* Use test-driven development, code reviews, and continuous integration to deliver high-quality software and rapidly fix bugs as they come up.
* Work closely with, and incorporate feedback from other engineering team members, QA, product owners, and our APM customers.
* Leverage agile practices to release small batches of value to customers continuously. – test-driven development, pair programming, live code review, continuous integration, and continuous delivery.

 **You know you’re the right fit if…*** You’ve heard of Ruby and Rails and have experience working with a language like Ruby, Java, or Python. You may even know enough about Javascript to have opinions about how frequently ""the new hot thing"" changes.
* You love learning about new technologies but understand the value of using something old if it still does everything you need it to do.
* You care about the long-term maintainability of the codebase and will learn to advocate for refactoring and clean-ups where appropriate.
* You care about work-life balance and want your company to care about it, too; you'll put in the extra hour when needed but won't let it become a habit.

 **Additional Skills and Knowledge:*** Bachelors, Masters, or Ph.D. in Computer Science or related technical discipline
* Hands-on work/internship experience developing web-based applications, preferably in a SaaS environment
* Creativity, ability to solve complex problems without a roadmap

 **Nice to Have:*** Experience working across all levels of the development stack
* Experience with some areas of our tech like Ruby on Rails, React, MySQL, AWS, SOA
* Familiarity with Agile software development processes: Scrum or Kanban
* Familiarity with Test-Driven-Development

 **Compensation & Benefits**


The base salary/hourly wage that we reasonably expect to pay for this role is: $106,000 -$154,000


The actual base salary/hourly wage for this role will be determined by a variety of factors, including but not limited to: the candidate’s skills, education, experience, etc.


Please note that base pay is one important aspect of a compelling Total Rewards package. The base pay range indicated here does not include any additional benefits or bonuses/commissions that you may be eligible for based on your role and/or employment type.
  

  

Regular full-time employees are eligible for benefits - see here.","https://www.glassdoor.com/Overview/W-EI_IE225531.htm","","","","","","https://media.glassdoor.com/sql/225531/appfolio-squareLogo-1708530065353.png","","",""
"1009371626150","glassdoor","https://www.glassdoor.com/job-listing/j?jl=1009371626150","","Software Engineer III","Maxor National Pharmacy Services, LLC","Plano, TX","","2024-07-19","direct_data","yearly",97230.0,119630.0,"USD",False,"","","","organic","","Overview:

Maxor is seeking an experienced **Software Engineer III** to join our dynamic PBM Application Development team. The Software Engineer III brings full stack experience to develop software solutions by studying information needs, conferring with users, studying systems flow, data usage, and work processes; investigating problem areas; and following the Maxor SDLC. As a Software Engineer III you will perform coding, debugging, testing, deployment and troubleshooting throughout the software development lifecycle. You will gain exposure to some of the complex tasks within the job function and have opportunities to support and develop junior software engineers by providing advice and coaching.

 **Position Location:**
This is a remote-based position within the Continental US. **Ideal Experience Profile**

* Bachelor’s degree in Computer Information Systems, or related degree from an accredited college or university preferred
* 4-7 years of related experience of Web UI & backed services Windows development in Microsoft environment
* PBM experience highly preferred
* 4+ years of experience in web development using HTML/JavaScript/CSS/JSON
* 4+ years’ experience working with relational databases
* 3+ years’ experience with AngularJS/Angular, React/Typescript
* 3+ years’ experience developing / maintaining / supporting web content management software
* 3+ years’ experience working with responsive/progressive web applications
* 2+ years’ experience working with source control systems, such as Azure DevOps, TFS, SVN, CI/CD Pipeline & GIT
* 2+ years’ experience working with automated web test scripts
* Knowledge and experience working with IIS and can provide IIS support
* Knowledge and experience working with Azure API Gateway
* Knowledge and experience working with Google Analytics
* Knowledge and experience working with Cron jobs in Unix-like operating systems

 **Our Company**
Founded in 1926, Maxor is a leading, independent pharmacy solutions platform that improves prescription drug affordability and outcomes. Over time, Maxor has built a unique and complementary suite of services and technology offerings that deliver clinical, financial and strategic value to patients, payors and providers across the pharmacy supply chain. Maxor has a proud heritage of growth and innovation earned over the decades. Amarillo, Texas is the legacy headquarters for Maxor, but our talent base is national. We operate pharmacies and other business operation sites across the United States with more than 1200 employees working from 42 states. **Why Maxor?**
Pharmacies are essential to healthcare, with nearly 90% of the US population living within 5 miles of one and seeing their pharmacist an average of 12 times a year. Providing a positive patient experience is crucial to ensuring patients adhere to their therapies.  

At Maxor, we recognize that our employees are our most valuable assets and we actively seek and retain talented professionals who are mission-driven to improve healthcare outcomes for patients. Our employees are also essential to their own well-being, finding fulfillment in meaningful work, competitive compensation, diverse and inclusive teams, and limitless career possibilities. With a almost a century of pharmacy experience, we offer the stability of a Fortune 500 company and the energy and innovation of a startup. Our expertise and technology support the entire pharmacy ecosystem, but our impact goes beyond pharmacy services. *We enable pharmacy care.*
Responsibilities:
* Design and develop software applications
* Troubleshoot, debug and resolve issues
* Create and implement automated web test scripts
* Participate in daily team standups and provide updates, status, and roadblocks for assigned tasks
* Understand and provide guidance on standard concepts, practices, and procedures within HTML, JavaScript, CSS, Angular/Angular 2, React/Typescript, Rest Services, Web API’s, Cron, Responsive Web Design & Azure DevOps Services.
* Work with relational databases, such as SQL server
* Work with CI/CD Pipeline for automated software delivery
* Rely on limited experience and judgment to plan and accomplish goals
* A certain degree of creativity and latitude required
* Support and develop junior software engineers by providing advice, coaching, and educational opportunities


Qualifications:
**Education:*** Bachelor’s degree in Computer Information Systems, or related degree from an accredited college or university preferred

**Experience:*** 4-7 years of related experience of Web UI and backed services Windows applications development in Microsoft Environment.
* PBM experience preferred, but not required
* 4+ years' of experience in web development using HTML/JavaScript/CSS/JSON
* 4+ years’ experience working with relational databases
* 3+ years’ experience with AngularJS/Angular, React/Typescript
* 3+ years’ experience developing / maintaining / supporting web content management software
* 3+ years’ experience working with responsive/progressive web applications
* 2+ years’ experience working with source control systems, such as Azure DevOps, TFS, SVN, CI/CD Pipeline & GIT
* 2+ years’ experience working with automated web test scripts
* Knowledge and experience working with IIS and can provide IIS support
* Knowledge and experience working with Azure API Gateway
* Knowledge and experience working with Google Analytics
* Knowledge and experience working with Cron jobs in Unix-like operating systems
* Knowledge and experience working with Jira, Confluence and Tempo Timesheets is a plus.

**Knowledge, Skills, and Abilities:*** Ability to work under minimal supervision in a fast-paced team environment.
* Skill designing functional and reliable software which meets the end user’s needs.

 **WE OFFER**


At Maxor, we foster a diverse and progressive culture that promotes a work-from-home model and a ""dress-for-your-day"" approach to work attire. Our team-oriented environment encourages collaboration and innovation. We offer highly competitive compensation and comprehensive health benefits including:

* Comprehensive mental health and wellbeing resources
* Nationwide Blue Cross Blue Shield PPO with employee-friendly plan design, including a $850 individual annual medical deductible and $25 office visit copays, with low biweekly premiums
* Company-paid basic life/AD&D, short-term and long-term disability insurance
* Rx, dental, vision, other voluntary benefits, and FSA
* Employer-matched 401k Plan
* Industry-leading PTO plan
* *And more!*


Apply today at:**https://www.maxor.com/careers/**


Maxor is an EOE, including disability/vets","https://www.glassdoor.com/Overview/W-EI_IE17101.htm","","","","","","https://media.glassdoor.com/sql/17101/maxor-squarelogo-1588622980012.png","","",""
